学習費区分,項目,幼稚園_公立,幼稚園_私立,小学校_公立,小学校_私立,中学校_公立,中学校_私立,高等学校_公立,高等学校_私立
学習費総額,合計,233947,482392,322310,1528237,478554,1326933,450862,1040168
学校教育費,合計,120546,318763,60043,870408,133640,997435,275991,755101
学校教育費,授業料,62049,215933,,461194,,425251,23368,271835
学校教育費,修学旅行・遠足・見学費,2031,3895,6738,41797,25038,74169,34892,54096
学校教育費,学級・児童会・生徒会費,4705,263,5055,11360,3957,13326,13834,19832
学校教育費,PTA会費,4622,5061,3405,12243,3808,12479,6587,14252
学校教育費,その他の学校納付金,4412,37398,1628,187129,6164,231232,29060,193806
学校教育費,寄附金,86,278,47,15290,65,4508,281,974
学校教育費,教科書・図書費,1092,2051,2049,4512,4262,11143,21513,24642
学校教育費,学用品・実験実習材料費,7484,8555,17000,26411,19577,26546,19149,16994
学校教育費,教科外活動費,641,1910,2714,12512,31319,57008,44276,44764
学校教育費,通学費,5355,13486,1197,40638,7365,77975,47552,71087
学校教育費,制服,3657,5245,2724,29917,18245,43263,21088,27186
学校教育費,通学用品費,14388,15060,13653,18762,10304,14723,10517,10775
学校教育費,学校教育費_その他,10024,9628,3833,8643,3536,5812,3874,4858
